transaction_id,date,description,amount,reference
TX0001,2026-08-01,Tata Motors,7796,REF00001
TX0002,2026-08-05,Zomato,15128,REF00002
TX0003,2026-08-18,Tata Motors,49040,REF00003
TX0004,2026-08-02,Meesho,28151,REF00004
TX0005,2026-08-08,Flipkart,14828,REF00005
TX0006,2026-08-21,Paytm,13531,REF00006
TX0007,2026-08-19,Zomato,29939,REF00007
TX0008,2026-08-06,Jio,925,REF00008
TX0009,2026-08-05,Myntra,18710,REF00009
TX0010,2026-08-04,Jio,22559,REF00010
TX0011,2026-08-12,Uber,6838,REF00011
TX0012,2026-08-02,Meesho,17835,REF00012
TX0013,2026-08-13,Paytm,8680,REF00013
TX0014,2026-08-21,Paytm,19713,REF00014
TX0015,2026-08-03,Meesho,13101,REF00015
TX0016,2026-08-10,Tata Motors,15435,REF00016
TX0017,2026-08-04,Infosys,15756,REF00017
TX0018,2026-08-21,Reliance Retail,30214,REF00018
TX0019,2026-08-12,Swiggy,24760,REF00019
TX0020,2026-08-21,Tata Motors,17996,REF00020
TX0021,2026-08-06,Meesho,42113,REF00021
TX0022,2026-08-13,Swiggy,30794,REF00022
TX0023,2026-08-18,Wipro,42443,REF00023
TX0024,2026-08-02,Tata Motors,21752,REF00024
TX0025,2026-08-11,Infosys,2603,REF00025
TX0026,2026-08-07,Reliance Retail,4837,REF00026
TX0027,2026-08-16,Zomato,43454,REF00027
TX0028,2026-08-15,Wipro,42629,REF00028
TX0029,2026-08-08,Reliance Retail,9650,REF00029
TX0030,2026-08-14,Airtel,38811,REF00030
TX0031,2026-08-05,Myntra,14873,REF00031
TX0032,2026-08-04,Flipkart,3587,REF00032
TX0033,2026-08-14,Tata Motors,10984,REF00033
TX0034,2026-08-20,Uber,25509,REF00034
TX0035,2026-08-18,Paytm,16976,REF00035
TX0036,2026-08-04,Tata Motors,47733,REF00036
TX0037,2026-08-11,Jio,42506,REF00037
TX0038,2026-08-06,Reliance Retail,28992,REF00038
TX0039,2026-08-09,Amazon India,47823,REF00039
TX0040,2026-08-21,Paytm,7473,REF00040
TX0041,2026-08-17,Infosys,42374,REF00041
TX0042,2026-08-06,SWIGGY PVT LTD,25004,REF00042
TX0043,2026-08-16,MEESHO ONLINE,21743,REF00043
TX0044,2026-08-10,FLIPKART ONLINE,24288,REF00044
TX0045,2026-08-19,Amazon India,16285,REF00045
TX0046,2026-08-16,Flipkart,48466,REF00046
TX0047,2026-08-05,Jio,35411,REF00047
TX0048,2026-08-18,Tata Motors,31648,REF00048
TX0049,2026-08-20,Reliance Retail,35081,REF00049
TX0050,2026-08-07,Zomato,35843,REF00050
TX0051,2026-08-21,Uber,44519,REF00051
TX0052,2026-08-15,Ola,34419,REF00052
TX0053,2026-08-03,Zomato,15225,REF00053
TX0054,2026-08-18,Amazon India,39055,REF00054
TX0055,2026-08-01,Meesho,14932,REF00055
TX0056,2026-08-02,Airtel,41859,REF00056
