payment_id,date,merchant,amount,reference,status
PAY0001,2026-08-01,Tata Motors,7796,REF00001,settled
PAY0002,2026-08-05,Zomato,15128,REF00002,settled
PAY0003,2026-08-18,Tata Motors,49040,REF00003,settled
PAY0004,2026-08-02,Meesho,28151,REF00004,settled
PAY0005,2026-08-08,Flipkart,14828,REF00005,settled
PAY0006,2026-08-21,Paytm,13531,REF00006,pending
PAY0007,2026-08-19,Zomato,29939,REF00007,settled
PAY0008,2026-08-06,Jio,925,REF00008,pending
PAY0009,2026-08-05,Myntra,18710,REF00009,settled
PAY0010,2026-08-04,Jio,22559,REF00010,settled
PAY0011,2026-08-12,Uber,6838,REF00011,settled
PAY0012,2026-08-02,Meesho,17835,REF00012,pending
PAY0013,2026-08-13,Paytm,8680,REF00013,settled
PAY0014,2026-08-21,Paytm,19713,REF00014,settled
PAY0015,2026-08-03,Meesho,13101,REF00015,settled
PAY0016,2026-08-10,Tata Motors,15435,REF00016,settled
PAY0017,2026-08-04,Infosys,15756,REF00017,pending
PAY0018,2026-08-21,Reliance Retail,30214,REF00018,settled
PAY0019,2026-08-12,Swiggy,24760,REF00019,settled
PAY0020,2026-08-21,Tata Motors,17996,REF00020,settled
PAY0021,2026-08-06,Meesho,42113,REF00021,settled
PAY0022,2026-08-13,Swiggy,30794,REF00022,settled
PAY0023,2026-08-18,Wipro,42443,REF00023,settled
PAY0024,2026-08-02,Tata Motors,21752,REF00024,settled
PAY0025,2026-08-11,Infosys,2603,REF00025,pending
PAY0026,2026-08-07,Reliance Retail,4837,REF00026,settled
PAY0027,2026-08-16,Zomato,43454,REF00027,pending
PAY0028,2026-08-15,Wipro,42629,REF00028,settled
PAY0029,2026-08-08,Reliance Retail,9650,REF00029,settled
PAY0030,2026-08-14,Airtel,38811,REF00030,pending
PAY0031,2026-08-05,Myntra,14873,REF00031,pending
PAY0032,2026-08-04,Flipkart,3587,REF00032,settled
PAY0033,2026-08-14,Tata Motors,10984,REF00033,settled
PAY0034,2026-08-20,Uber,25509,REF00034,pending
PAY0035,2026-08-18,Paytm,16976,REF00035,settled
PAY0036,2026-08-04,Tata Motors,47733,REF00036,settled
PAY0037,2026-08-11,Jio,42506,REF00037,settled
PAY0038,2026-08-06,Reliance Retail,28992,REF00038,pending
PAY0039,2026-08-09,Amazon India,47823,REF00039,settled
PAY0040,2026-08-21,Paytm,7473,REF00040,settled
PAY0041,2026-08-17,Infosys,42374,REF00041,settled
PAY0042,2026-08-06,Swiggy,25004,REF00042,settled
PAY0043,2026-08-16,Meesho,21743,REF00043,settled
PAY0044,2026-08-10,Flipkart,24288,REF00044,settled
PAY0045,2026-08-19,Amazon India,16285,REF00045,settled
PAY0046,2026-08-16,Flipkart,48466,REF00046,settled
PAY0047,2026-08-05,Jio,35411,REF00047,settled
PAY0048,2026-08-18,Tata Motors,31648,REF00048,settled
PAY0049,2026-08-20,Reliance Retail,35081,REF00049,pending
PAY0050,2026-08-07,Zomato,35843,REF00050,settled
PAY0051,2026-08-21,Uber,44519,REF00051,settled
PAY0052,2026-08-15,Ola,34419,REF00052,settled
PAY0053,2026-08-03,Zomato,15225,REF00053,settled
PAY0054,2026-08-18,Amazon India,39055,REF00054,settled
PAY0055,2026-08-01,Meesho,14932,REF00055,settled
PAY0056,2026-08-02,Airtel,41859,REF00056,settled
PAY0057,2026-08-11,Flipkart,2558,REF00057,settled
PAY0058,2026-08-09,Paytm,16097,REF00058,pending
PAY0059,2026-08-05,Zomato,35839,REF00059,pending
PAY0060,2026-08-14,Zomato,31496,REF00060,settled
PAY0061,2026-08-14,Flipkart,6852,REF00061,settled
PAY0062,2026-08-15,Uber,27441,REF00062,settled
PAY0063,2026-08-21,Tata Motors,43324,REF00063,settled
PAY0064,2026-08-11,Amazon India,26886,REF00064,settled
PAY0065,2026-08-07,Zomato,13056,REF00065,pending
PAY0066,2026-08-06,Swiggy,28148,REF00066,settled
PAY0067,2026-08-03,Ola,16871,REF00067,pending
PAY0068,2026-08-04,Jio,36566,REF00068,settled
PAY0069,2026-08-01,Tata Motors,35927,REF00069,settled
PAY0070,2026-08-08,Wipro,49885,REF00070,settled
PAY0071,2026-08-16,Uber,32326,REF00071,settled
PAY0072,2026-08-02,Infosys,26782,REF00072,settled
PAY0073,2026-08-13,Uber,641,REF00073,settled
PAY0074,2026-08-10,Wipro,30319,REF00074,pending
PAY0075,2026-08-18,Airtel,48374,REF00075,pending
PAY0076,2026-08-10,Swiggy,12945,REF00076,settled
PAY0077,2026-08-18,Amazon India,38457,REF00077,settled
PAY0078,2026-08-02,Airtel,21052,REF00078,settled
PAY0079,2026-08-17,Meesho,31746,REF00079,settled
PAY0080,2026-08-03,Amazon India,33781,REF00080,settled
PAY0081,2026-08-03,Flipkart,39496,REF00081,settled
PAY0082,2026-08-19,Uber,8356,REF00082,settled
PAY0083,2026-08-02,Meesho,39462,REF00083,settled
PAY0084,2026-08-19,Uber,43581,REF00084,settled
PAY0085,2026-08-07,Wipro,17589,REF00085,settled
PAY0086,2026-08-13,Zomato,17907,REF00086,settled
PAY0087,2026-08-10,Tata Motors,42803,REF00087,pending
PAY0088,2026-08-03,Myntra,49774,REF00088,settled
PAY0089,2026-08-19,Ola,41208,REF00089,settled
PAY0090,2026-08-07,Flipkart,35734,REF00090,settled
PAY0091,2026-08-03,Swiggy,23372,REF00091,settled
PAY0092,2026-08-06,Myntra,19176,REF00092,pending
PAY0093,2026-08-10,Infosys,36100,REF00093,settled
PAY0094,2026-08-10,Tata Motors,36846,REF00094,settled
PAY0095,2026-08-09,Wipro,9300,REF00095,settled
PAY0096,2026-08-18,Wipro,7514,REF00096,settled
PAY0097,2026-08-20,Reliance Retail,18965,REF00097,settled
PAY0098,2026-08-07,Airtel,22971,REF00098,settled
PAY0099,2026-08-09,Paytm,32516,REF00099,settled
PAY0100,2026-08-14,Flipkart,42068,REF00100,settled
PAY0101,2026-08-11,Amazon India,732,REF00101,settled
PAY0102,2026-08-06,Tata Motors,17667,REF00102,pending
PAY0103,2026-08-14,Paytm,46746,REF00103,settled
PAY0104,2026-08-05,Flipkart,5431,REF00104,settled
PAY0105,2026-08-19,Infosys,24696,REF00105,settled
PAY0106,2026-08-02,Uber,8852,REF00106,settled
PAY0107,2026-08-12,Myntra,3114,REF00107,settled
PAY0108,2026-08-04,Tata Motors,16853,REF00108,settled
PAY0109,2026-08-14,Jio,37192,REF00109,settled
PAY0110,2026-08-06,Wipro,16014,REF00110,settled
PAY0111,2026-08-01,Wipro,27520,REF00111,settled
PAY0112,2026-08-14,Airtel,22270,REF00112,settled
PAY0113,2026-08-04,Reliance Retail,10933,REF00113,pending
PAY0114,2026-08-16,Infosys,3037,REF00114,settled
PAY0115,2026-08-12,Zomato,30666,REF00115,settled
PAY0116,2026-08-08,Infosys,15415,REF00116,settled
PAY0117,2026-08-13,Tata Motors,13156,REF00117,settled
PAY0118,2026-08-09,Reliance Retail,5049,REF00118,settled
PAY0119,2026-08-13,Tata Motors,33884,REF00119,settled
PAY0120,2026-08-09,Amazon India,8059,REF00120,settled
PAY0121,2026-08-02,Meesho,17897,REF00121,settled
PAY0122,2026-08-12,Meesho,28979,REF00122,settled
PAY0123,2026-08-17,Uber,40228,REF00123,settled
PAY0124,2026-08-07,Uber,38287,REF00124,settled
PAY0125,2026-08-14,Amazon India,46950,REF00125,settled
PAY0126,2026-08-07,Paytm,35787,REF00126,settled
PAY0127,2026-08-11,Uber,5085,REF00127,settled
PAY0128,2026-08-10,Tata Motors,8667,REF00128,settled
PAY0129,2026-08-11,Tata Motors,27264,REF00129,pending
PAY0130,2026-08-18,Airtel,19876,REF00130,settled
PAY0131,2026-08-13,Zomato,28054,REF00131,settled
PAY0132,2026-08-10,Meesho,37796,REF00132,pending
PAY0133,2026-08-10,Paytm,526,REF00133,settled
PAY0134,2026-08-19,Zomato,28673,REF00134,settled
PAY0135,2026-08-15,Ola,29452,REF00135,settled
PAY0136,2026-08-06,Paytm,31510,REF00136,settled
PAY0137,2026-08-21,Reliance Retail,34280,REF00137,settled
PAY0138,2026-08-08,Flipkart,49726,REF00138,settled
PAY0139,2026-08-05,Zomato,13550,REF00139,settled
PAY0140,2026-08-16,Amazon India,16546,REF00140,settled
PAY0141,2026-08-21,Ola,27660,REF00141,settled
PAY0142,2026-08-13,Airtel,46136,REF00142,pending
PAY0143,2026-08-05,Uber,16489,REF00143,settled
PAY0144,2026-08-04,Wipro,49715,REF00144,pending
PAY0145,2026-08-17,Zomato,12026,REF00145,pending
PAY0146,2026-08-08,Amazon India,37030,REF00146,settled
PAY0147,2026-08-15,Ola,9238,REF00147,settled
PAY0148,2026-08-20,Jio,29504,REF00148,pending
PAY0149,2026-08-15,Infosys,36405,REF00149,settled
PAY0150,2026-08-15,Airtel,31608,REF00150,settled
