Invoice_Number,Issue_Date,Vendor_Legal_Name,Invoice_Total_USD,PO_Reference_Number
INV-7001,2026/10/01,Tata Motors,16450.00,PO-90001
INV-7002,2026/10/01,Zomato,8720.00,PO-90002
INV-7003,2026/10/02,Meesho,23400.00,PO-90003
INV-7004,2026/10/02,Flipkart,41500.00,PO-90004
INV-7005,2026/10/03,Paytm,5900.00,PO-90005
INV-7006,2026/10/03,Jio,13800.00,PO-90006
INV-7007,2026/10/04,Myntra,19200.00,PO-90007
INV-7008,2026/10/04,Uber,6850.00,PO-90008
INV-7009,2026/10/05,Infosys,51200.00,PO-90009
INV-7010,2026/10/05,Reliance Retail,33600.00,PO-90010
INV-7011,2026/10/06,Swiggy,22400.00,PO-90011
INV-7012,2026/10/06,Wipro,43900.00,PO-90012
INV-7013,2026/10/07,Airtel,15700.00,PO-90013
INV-7014,2026/10/07,Amazon India,30800.00,PO-90014
INV-7015,2026/10/08,Ola,8450.00,PO-90015
INV-7016,2026/10/08,Tata Motors,20800.00,PO-90016
INV-7017,2026/10/09,Zomato,11900.00,PO-90017
INV-7018,2026/10/09,Meesho,27300.00,PO-90018
INV-7019,2026/10/10,Flipkart,44600.00,PO-90019
INV-7020,2026/10/10,Paytm,8200.00,PO-90020
INV-7021,2026/10/11,Jio,17600.00,PO-90021
INV-7022,2026/10/11,Myntra,25100.00,PO-90022
INV-7023,2026/10/12,Uber,7400.00,PO-90023
INV-7024,2026/10/12,Infosys,53900.00,PO-90024
INV-7025,2026/10/13,Reliance Retail,38100.00,PO-90025
INV-7026,2026/10/13,Swiggy,19500.00,PO-90026
INV-7027,2026/10/14,Wipro,46800.00,PO-90027
INV-7028,2026/10/14,Airtel,14200.00,PO-90028
INV-7029,2026/10/15,Amazon India,32600.00,PO-90029
INV-7030,2026/10/15,Ola,9100.00,PO-90030
INV-7031,2026/10/16,Tata Motors,24300.00,PO-90031
INV-7032,2026/10/16,Zomato,13400.00,PO-90032
INV-7033,2026/10/17,Meesho,30950.00,PO-90033
INV-7034,2026/10/17,Flipkart,48200.00,PO-90034
INV-7035,2026/10/18,Paytm,7350.00,PO-90035
INV-7036,2026/10/18,Jio,22100.00,PO-90036
INV-7037,2026/10/19,Myntra,19450.00,PO-90037
INV-7038,2026/10/19,Uber,8900.00,PO-90038
INV-7039,2026/10/16,Infosys,49800.00,PO-90039
INV-7040,2026/10/17,Reliance Retail,36900.00,PO-90040
INV-7041,2026/10/18,Swiggy,24700.00,PO-90041
INV-7042,2026/10/18,Wipro,42500.00,PO-90042
INV-7043,2026/10/19,Airtel,16100.00,PO-90043
INV-7044,2026/10/19,Amazon India,35400.00,PO-90044
INV-7050,2026/10/25,Paytm,7500.00,PO-90050
