Bank_Record_ID,Transaction_Date,Payee_Vendor_Name,Disbursed_Amount,ERP_Tracking_No
BNK-9001,2026/10/01,Tata Motors Commercial,16450.00,PO-90001
BNK-9002,2026/10/01,Zomato Media Ltd,8720.00,PO-90002
BNK-9003,2026/10/02,Meesho Marketplace,23400.00,PO-90003
BNK-9004,2026/10/02,FLIPKART INTERNET SERVICES,41500.00,PO-90004
BNK-9005,2026/10/03,Paytm Payments Bank,5900.00,PO-90005
BNK-9006,2026/10/03,RELIANCE JIO INFOCOMM,13800.00,PO-90006
BNK-9007,2026/10/04,Myntra Fashion Designs,19200.00,PO-90007
BNK-9008,2026/10/04,Uber India Tech Solutions,6850.00,PO-90008
BNK-9009,2026/10/05,Infosys Technologies Ltd,51200.00,PO-90009
BNK-9010,2026/10/05,Reliance Retail Ventures,33600.00,PO-90010
BNK-9011,2026/10/06,SWIGGY BUNDL TECH,22400.00,PO-90011
BNK-9012,2026/10/06,Wipro Global Tech,43900.00,PO-90012
BNK-9013,2026/10/07,Bharti Airtel Enterprise,15700.00,PO-90013
BNK-9014,2026/10/07,AMAZON SELLER SERVICES,30800.00,PO-90014
BNK-9015,2026/10/08,Ola Cabs Mobility,8450.00,PO-90015
BNK-9016,2026/10/08,Tata Motors Commercial,20800.00,PO-90016
BNK-9017,2026/10/09,Zomato Media Ltd,11900.00,PO-90017
BNK-9018,2026/10/09,Meesho Marketplace,27300.00,PO-90018
BNK-9019,2026/10/10,Flipkart India,44600.00,PO-90019
BNK-9020,2026/10/10,PAYTM SERVICES,8200.00,PO-90020
BNK-9021,2026/10/11,Reliance Jio Infocomm,17600.00,PO-90021
BNK-9022,2026/10/11,MYNTRA DESIGNS PVT,25100.00,PO-90022
BNK-9023,2026/10/12,Uber India Systems,7400.00,PO-90023
BNK-9024,2026/10/12,Infosys Technologies Ltd,53900.00,PO-90024
BNK-9025,2026/10/13,Reliance Retail Ventures,38100.00,PO-90025
BNK-9026,2026/10/13,Swiggy Delivery,19500.00,PO-90026
BNK-9027,2026/10/14,Wipro Global Tech,46800.00,PO-90027
BNK-9028,2026/10/14,Bharti Airtel Enterprise,14200.00,PO-90028
BNK-9029,2026/10/15,AMAZON SELLER SERVICES,32600.00,PO-90029
BNK-9030,2026/10/15,Ola Cabs Mobility,9100.00,PO-90030
BNK-9031,2026/10/16,Tata Motors Commercial,24300.00,PO-90031
BNK-9032,2026/10/16,Zomato Media Ltd,13400.00,PO-90032
BNK-9033,2026/10/17,Meesho Marketplace,29800.00,PO-90033
BNK-9034,2026/10/17,Flipkart India,47100.00,PO-90034
BNK-9035,2026/10/18,Paytm Payments Bank,6700.00,PO-90035
BNK-9036,2026/10/18,Reliance Jio Infocomm,21400.00,PO-90036
BNK-9037,2026/10/19,Myntra Fashion Designs,18600.00,PO-90037
BNK-9038,2026/10/19,Uber India Systems,8300.00,PO-90038
BNK-9039,2026/10/20,INFOSYS LTD,49800.00,PO-90039
BNK-9040,2026/10/20,Reliance Retail Ventures,36900.00,PO-90040
BNK-9041,2026/10/21,SWIGGY BUNDL TECH,24700.00,PO-90041
BNK-9042,2026/10/21,Wipro Global Tech,42500.00,PO-90042
BNK-9043,2026/10/22,Bharti Airtel Enterprise,16100.00,PO-90043
BNK-9044,2026/10/22,AMAZON SELLER SERVICES,35400.00,PO-90044
BNK-9045,2026/10/23,Ola Cabs Mobility,9700.00,PO-90045
BNK-9046,2026/10/23,Tata Motors Commercial,19600.00,PO-90046
BNK-9047,2026/10/24,Zomato Media Ltd,10800.00,PO-90047
BNK-9048,2026/10/24,Meesho Marketplace,26500.00,PO-90048
BNK-9049,2026/10/25,Flipkart India,43200.00,PO-90049
BNK-9050,2026/10/25,Paytm Payments Bank,7500.00,PO-90050
BNK-9007_DUP,2026/10/04,Myntra Fashion Designs,19200.00,PO-90007
BNK-9022_DUP,2026/10/11,MYNTRA DESIGNS PVT,25100.00,PO-90022
