Settlement_ID,Execution_Date,Beneficiary,Amount_Processed,Matching_PO_Key,Payment_Status
SET-5001,2026/10/01,Tata Motors,16450.00,PO-90001,SETTLED
SET-5002,2026/10/01,Zomato,8720.00,PO-90002,SETTLED
SET-5003,2026/10/02,Meesho,23400.00,PO-90003,SETTLED
SET-5004,2026/10/02,Flipkart,41500.00,PO-90004,SETTLED
SET-5005,2026/10/03,Paytm,5900.00,PO-90005,PENDING
SET-5006,2026/10/03,Jio,13800.00,PO-90006,SETTLED
SET-5007,2026/10/04,Myntra,19200.00,PO-90007,SETTLED
SET-5008,2026/10/04,Uber,6850.00,PO-90008,SETTLED
SET-5009,2026/10/05,Infosys,51200.00,PO-90009,SETTLED
SET-5010,2026/10/05,Reliance Retail,33600.00,PO-90010,PENDING
SET-5011,2026/10/06,Swiggy,22400.00,PO-90011,SETTLED
SET-5012,2026/10/06,Wipro,43900.00,PO-90012,SETTLED
SET-5013,2026/10/07,Airtel,15700.00,PO-90013,SETTLED
SET-5014,2026/10/07,Amazon India,30800.00,PO-90014,SETTLED
SET-5015,2026/10/08,Ola,8450.00,PO-90015,SETTLED
SET-5016,2026/10/08,Tata Motors,20800.00,PO-90016,SETTLED
SET-5017,2026/10/09,Zomato,11900.00,PO-90017,SETTLED
SET-5018,2026/10/09,Meesho,27300.00,PO-90018,SETTLED
SET-5019,2026/10/10,Flipkart,44600.00,PO-90019,SETTLED
SET-5020,2026/10/10,Paytm,8200.00,PO-90020,SETTLED
SET-5021,2026/10/11,Jio,17600.00,PO-90021,SETTLED
SET-5022,2026/10/11,Myntra,25100.00,PO-90022,PENDING
SET-5023,2026/10/12,Uber,7400.00,PO-90023,SETTLED
SET-5024,2026/10/12,Infosys,53900.00,PO-90024,SETTLED
SET-5025,2026/10/13,Reliance Retail,38100.00,PO-90025,SETTLED
SET-5026,2026/10/13,Swiggy,19500.00,PO-90026,SETTLED
SET-5027,2026/10/14,Wipro,46800.00,PO-90027,SETTLED
SET-5028,2026/10/14,Airtel,14200.00,PO-90028,SETTLED
SET-5029,2026/10/15,Amazon India,32600.00,PO-90029,SETTLED
SET-5030,2026/10/15,Ola,9100.00,PO-90030,SETTLED
SET-5031,2026/10/16,Tata Motors,24300.00,PO-90031,SETTLED
SET-5032,2026/10/16,Zomato,13400.00,PO-90032,SETTLED
SET-5033,2026/10/17,Meesho,29800.00,PO-90033,SETTLED
SET-5034,2026/10/17,Flipkart,47100.00,PO-90034,SETTLED
SET-5035,2026/10/18,Paytm,6700.00,PO-90035,SETTLED
SET-5036,2026/10/18,Jio,21400.00,PO-90036,SETTLED
SET-5037,2026/10/19,Myntra,18600.00,PO-90037,SETTLED
SET-5038,2026/10/19,Uber,8300.00,PO-90038,SETTLED
SET-5039,2026/10/20,Infosys,49800.00,PO-90039,SETTLED
SET-5040,2026/10/20,Reliance Retail,36900.00,PO-90040,SETTLED
SET-5041,2026/10/21,Swiggy,24700.00,PO-90041,SETTLED
SET-5042,2026/10/21,Wipro,42500.00,PO-90042,SETTLED
SET-5043,2026/10/22,Airtel,16100.00,PO-90043,SETTLED
SET-5044,2026/10/22,Amazon India,35400.00,PO-90044,SETTLED
SET-5045,2026/10/23,Ola,9700.00,PO-90045,SETTLED
SET-5046,2026/10/23,Tata Motors,19600.00,PO-90046,PENDING
SET-5047,2026/10/24,Zomato,10800.00,PO-90047,SETTLED
SET-5048,2026/10/24,Meesho,26500.00,PO-90048,SETTLED
SET-5049,2026/10/25,Flipkart,43200.00,PO-90049,SETTLED
SET-5050,2026/10/25,Paytm,7500.00,PO-90050,SETTLED
