transaction_id,expected_invoice_id,expected_status
TX0001,INV0001,AMOUNT_MISMATCH
TX0002,INV0002,AMOUNT_MISMATCH
TX0003,INV0003,AMOUNT_MISMATCH
TX0004,INV0004,AMOUNT_MISMATCH
TX0005,INV0005,AMOUNT_MISMATCH
TX0006,INV0006,AMOUNT_MISMATCH
TX0007,INV0007,AMOUNT_MISMATCH
TX0008,INV0008,AMOUNT_MISMATCH
TX0009,INV0009,AMOUNT_MISMATCH
TX0010,INV0010,AMOUNT_MISMATCH
TX0011,INV0011,AMOUNT_MISMATCH
TX0012,INV0012,AMOUNT_MISMATCH
TX0013,INV0013,AMOUNT_MISMATCH
TX0014,INV0014,AMOUNT_MISMATCH
TX0015,INV0015,AMOUNT_MISMATCH
TX0016,INV0016,DATE_MISMATCH
TX0017,INV0017,DATE_MISMATCH
TX0018,INV0018,DATE_MISMATCH
TX0019,INV0019,DATE_MISMATCH
TX0020,INV0020,DATE_MISMATCH
TX0021,INV0021,DATE_MISMATCH
TX0022,INV0022,DATE_MISMATCH
TX0023,INV0023,DATE_MISMATCH
TX0024,INV0024,DATE_MISMATCH
TX0025,INV0025,DATE_MISMATCH
TX0026,INV0026,DATE_MISMATCH
TX0027,INV0027,DATE_MISMATCH
TX0028,INV0028,DATE_MISMATCH
TX0029,INV0029,DATE_MISMATCH
TX0030,INV0030,DATE_MISMATCH
TX0031,,MISSING_INVOICE
TX0032,,MISSING_INVOICE
TX0033,,MISSING_INVOICE
TX0034,,MISSING_INVOICE
TX0035,,MISSING_INVOICE
TX0036,,MISSING_INVOICE
TX0037,,MISSING_INVOICE
TX0038,,MISSING_INVOICE
TX0039,,MISSING_INVOICE
TX0040,,MISSING_INVOICE
TX0041,INV0041,MATCH
TX0042,INV0042,MATCH
TX0043,INV0043,MATCH
TX0044,INV0044,MATCH
TX0045,INV0045,MATCH
TX0046,INV0046,MATCH
TX0047,INV0047,MATCH
TX0048,INV0048,MATCH
TX0049,INV0049,MATCH
TX0050,INV0050,MATCH
TX0051,INV0051,MATCH
TX0052,INV0052,MATCH
TX0053,INV0053,MATCH
TX0054,INV0054,MATCH
TX0055,INV0055,MATCH
TX0056,INV0056,MATCH
TX0057,INV0057,MATCH
TX0058,INV0058,MATCH
TX0059,INV0059,MATCH
TX0060,INV0060,MATCH
TX0061,INV0061,MATCH
TX0062,INV0062,MATCH
TX0063,INV0063,MATCH
TX0064,INV0064,MATCH
TX0065,INV0065,MATCH
TX0066,INV0066,MATCH
TX0067,INV0067,MATCH
TX0068,INV0068,MATCH
TX0069,INV0069,MATCH
TX0070,INV0070,MATCH
TX0071,INV0071,MATCH
TX0072,INV0072,MATCH
TX0073,INV0073,MATCH
TX0074,INV0074,MATCH
TX0075,INV0075,MATCH
TX0076,INV0076,MATCH
TX0077,INV0077,MATCH
TX0078,INV0078,MATCH
TX0079,INV0079,MATCH
TX0080,INV0080,MATCH
TX0081,INV0081,MATCH
TX0082,INV0082,MATCH
TX0083,INV0083,MATCH
TX0084,INV0084,MATCH
TX0085,INV0085,MATCH
TX0086,INV0086,MATCH
TX0087,INV0087,MATCH
TX0088,INV0088,MATCH
TX0089,INV0089,MATCH
TX0090,INV0090,MATCH
TX0091,INV0091,MATCH
TX0092,INV0092,MATCH
TX0093,INV0093,MATCH
TX0094,INV0094,MATCH
TX0095,INV0095,MATCH
TX0096,INV0096,MATCH
TX0097,INV0097,MATCH
TX0098,INV0098,MATCH
TX0099,INV0099,MATCH
TX0100,INV0100,MATCH
TX0101,INV0101,MATCH
TX0102,INV0102,MATCH
TX0103,INV0103,MATCH
TX0104,INV0104,MATCH
TX0105,INV0105,MATCH
TX0106,INV0106,MATCH
TX0107,INV0107,MATCH
TX0108,INV0108,MATCH
TX0109,INV0109,MATCH
TX0110,INV0110,MATCH
TX0111,INV0111,MATCH
TX0112,INV0112,MATCH
TX0113,INV0113,MATCH
TX0114,INV0114,MATCH
TX0115,INV0115,MATCH
TX0116,INV0116,MATCH
TX0117,INV0117,MATCH
TX0118,INV0118,MATCH
TX0119,INV0119,MATCH
TX0120,INV0120,MATCH
TX0121,INV0121,MATCH
TX0122,INV0122,MATCH
TX0123,INV0123,MATCH
TX0124,INV0124,MATCH
TX0125,INV0125,MATCH
TX0126,INV0126,MATCH
TX0127,INV0127,MATCH
TX0128,INV0128,MATCH
TX0129,INV0129,MATCH
TX0130,INV0130,MATCH
TX0131,INV0131,MATCH
TX0132,INV0132,MATCH
TX0133,INV0133,MATCH
TX0134,INV0134,MATCH
TX0135,INV0135,MATCH
TX0136,INV0136,MATCH
TX0137,INV0137,MATCH
TX0138,INV0138,MATCH
TX0139,INV0139,MATCH
TX0140,INV0140,MATCH
TX0141,INV0141,MATCH
TX0142,INV0142,MATCH
TX0143,INV0143,MATCH
TX0144,INV0144,MATCH
TX0145,INV0145,MATCH
TX0146,INV0146,MATCH
TX0147,INV0147,MATCH
TX0148,INV0148,MATCH
TX0149,INV0149,MATCH
TX0150,INV0150,MATCH
