invoice_id,date,customer,amount,invoice_reference
INV0001,2026-08-01,Tata Motors,8654,REF00001
INV0002,2026-08-05,Zomato,15317,REF00002
INV0003,2026-08-18,Tata Motors,49421,REF00003
INV0004,2026-08-02,Meesho,28393,REF00004
INV0005,2026-08-08,Flipkart,15682,REF00005
INV0006,2026-08-21,Paytm,14323,REF00006
INV0007,2026-08-19,Zomato,30597,REF00007
INV0008,2026-08-06,Jio,1139,REF00008
INV0009,2026-08-05,Myntra,19038,REF00009
INV0010,2026-08-04,Jio,22909,REF00010
INV0011,2026-08-12,Uber,6963,REF00011
INV0012,2026-08-02,Meesho,18694,REF00012
INV0013,2026-08-13,Paytm,9384,REF00013
INV0014,2026-08-21,Paytm,20467,REF00014
INV0015,2026-08-03,Meesho,13305,REF00015
INV0016,2026-08-12,Tata Motors,15435,REF00016
INV0017,2026-08-06,Infosys,15756,REF00017
INV0018,2026-08-23,Reliance Retail,30214,REF00018
INV0019,2026-08-14,Swiggy,24760,REF00019
INV0020,2026-08-23,Tata Motors,17996,REF00020
INV0021,2026-08-08,Meesho,42113,REF00021
INV0022,2026-08-15,Swiggy,30794,REF00022
INV0023,2026-08-20,Wipro,42443,REF00023
INV0024,2026-08-04,Tata Motors,21752,REF00024
INV0025,2026-08-13,Infosys,2603,REF00025
INV0026,2026-08-09,Reliance Retail,4837,REF00026
INV0027,2026-08-18,Zomato,43454,REF00027
INV0028,2026-08-17,Wipro,42629,REF00028
INV0029,2026-08-10,Reliance Retail,9650,REF00029
INV0030,2026-08-16,Airtel,38811,REF00030
INV0041,2026-08-17,Infosys,42374,REF00041
INV0042,2026-08-06,Swiggy,25004,REF00042
INV0043,2026-08-16,Meesho,21743,REF00043
INV0044,2026-08-10,Flipkart,24288,REF00044
INV0045,2026-08-19,Amazon India,16285,REF00045
INV0046,2026-08-16,Flipkart,48466,REF00046
INV0047,2026-08-05,Jio,35411,REF00047
INV0048,2026-08-18,Tata Motors,31648,REF00048
INV0049,2026-08-20,Reliance Retail,35081,REF00049
INV0050,2026-08-07,Zomato,35843,REF00050
INV0051,2026-08-21,Uber,44519,REF00051
INV0052,2026-08-15,Ola,34419,REF00052
INV0053,2026-08-03,Zomato,15225,REF00053
INV0054,2026-08-18,Amazon India,39055,REF00054
INV0055,2026-08-01,Meesho,14932,REF00055
INV0056,2026-08-02,Airtel,41859,REF00056
INV0057,2026-08-11,Flipkart,2558,REF00057
INV0058,2026-08-09,Paytm,16097,REF00058
INV0059,2026-08-05,Zomato,35839,REF00059
INV0060,2026-08-14,Zomato,31496,REF00060
INV0061,2026-08-14,Flipkart,6852,REF00061
INV0062,2026-08-15,Uber,27441,REF00062
INV0063,2026-08-21,Tata Motors,43324,REF00063
INV0064,2026-08-11,Amazon India,26886,REF00064
INV0065,2026-08-07,Zomato,13056,REF00065
INV0066,2026-08-06,Swiggy,28148,REF00066
INV0067,2026-08-03,Ola,16871,REF00067
INV0068,2026-08-04,Jio,36566,REF00068
INV0069,2026-08-01,Tata Motors,35927,REF00069
INV0070,2026-08-08,Wipro,49885,REF00070
INV0071,2026-08-16,Uber,32326,REF00071
INV0072,2026-08-02,Infosys,26782,REF00072
INV0073,2026-08-13,Uber,641,REF00073
INV0074,2026-08-10,Wipro,30319,REF00074
INV0075,2026-08-18,Airtel,48374,REF00075
INV0076,2026-08-10,Swiggy,12945,REF00076
INV0077,2026-08-18,Amazon India,38457,REF00077
INV0078,2026-08-02,Airtel,21052,REF00078
INV0079,2026-08-17,Meesho,31746,REF00079
INV0080,2026-08-03,Amazon India,33781,REF00080
INV0081,2026-08-03,Flipkart,39496,REF00081
INV0082,2026-08-19,Uber,8356,REF00082
INV0083,2026-08-02,Meesho,39462,REF00083
INV0084,2026-08-19,Uber,43581,REF00084
INV0085,2026-08-07,Wipro,17589,REF00085
INV0086,2026-08-13,Zomato,17907,REF00086
INV0087,2026-08-10,Tata Motors,42803,REF00087
INV0088,2026-08-03,Myntra,49774,REF00088
INV0089,2026-08-19,Ola,41208,REF00089
INV0090,2026-08-07,Flipkart,35734,REF00090
INV0091,2026-08-03,Swiggy,23372,REF00091
INV0092,2026-08-06,Myntra,19176,REF00092
INV0093,2026-08-10,Infosys,36100,REF00093
INV0094,2026-08-10,Tata Motors,36846,REF00094
INV0095,2026-08-09,Wipro,9300,REF00095
INV0096,2026-08-18,Wipro,7514,REF00096
INV0097,2026-08-20,Reliance Retail,18965,REF00097
INV0098,2026-08-07,Airtel,22971,REF00098
INV0099,2026-08-09,Paytm,32516,REF00099
INV0100,2026-08-14,Flipkart,42068,REF00100
INV0101,2026-08-11,Amazon India,732,REF00101
INV0102,2026-08-06,Tata Motors,17667,REF00102
INV0103,2026-08-14,Paytm,46746,REF00103
INV0104,2026-08-05,Flipkart,5431,REF00104
INV0105,2026-08-19,Infosys,24696,REF00105
INV0106,2026-08-02,Uber,8852,REF00106
INV0107,2026-08-12,Myntra,3114,REF00107
INV0108,2026-08-04,Tata Motors,16853,REF00108
INV0109,2026-08-14,Jio,37192,REF00109
INV0110,2026-08-06,Wipro,16014,REF00110
INV0111,2026-08-01,Wipro,27520,REF00111
INV0112,2026-08-14,Airtel,22270,REF00112
INV0113,2026-08-04,Reliance Retail,10933,REF00113
INV0114,2026-08-16,Infosys,3037,REF00114
INV0115,2026-08-12,Zomato,30666,REF00115
INV0116,2026-08-08,Infosys,15415,REF00116
INV0117,2026-08-13,Tata Motors,13156,REF00117
INV0118,2026-08-09,Reliance Retail,5049,REF00118
INV0119,2026-08-13,Tata Motors,33884,REF00119
INV0120,2026-08-09,Amazon India,8059,REF00120
INV0121,2026-08-02,Meesho,17897,REF00121
INV0122,2026-08-12,Meesho,28979,REF00122
INV0123,2026-08-17,Uber,40228,REF00123
INV0124,2026-08-07,Uber,38287,REF00124
INV0125,2026-08-14,Amazon India,46950,REF00125
INV0126,2026-08-07,Paytm,35787,REF00126
INV0127,2026-08-11,Uber,5085,REF00127
INV0128,2026-08-10,Tata Motors,8667,REF00128
INV0129,2026-08-11,Tata Motors,27264,REF00129
INV0130,2026-08-18,Airtel,19876,REF00130
INV0131,2026-08-13,Zomato,28054,REF00131
INV0132,2026-08-10,Meesho,37796,REF00132
INV0133,2026-08-10,Paytm,526,REF00133
INV0134,2026-08-19,Zomato,28673,REF00134
INV0135,2026-08-15,Ola,29452,REF00135
INV0136,2026-08-06,Paytm,31510,REF00136
INV0137,2026-08-21,Reliance Retail,34280,REF00137
INV0138,2026-08-08,Flipkart,49726,REF00138
INV0139,2026-08-05,Zomato,13550,REF00139
INV0140,2026-08-16,Amazon India,16546,REF00140
INV0141,2026-08-21,Ola,27660,REF00141
INV0142,2026-08-13,Airtel,46136,REF00142
INV0143,2026-08-05,Uber,16489,REF00143
INV0144,2026-08-04,Wipro,49715,REF00144
INV0145,2026-08-17,Zomato,12026,REF00145
INV0146,2026-08-08,Amazon India,37030,REF00146
INV0147,2026-08-15,Ola,9238,REF00147
INV0148,2026-08-20,Jio,29504,REF00148
INV0149,2026-08-15,Infosys,36405,REF00149
INV0150,2026-08-15,Airtel,31608,REF00150
