Gateway_Txn_ID,Capture_Date,Merchant_Account,Settled_Amount,Order_Ref_Code,Settlement_State
PG-7001,01/10/2026,Tata Motors,18500.00,PO-80001,SUCCESS
PG-7002,01/10/2026,Zomato,9450.00,PO-80002,SUCCESS
PG-7003,02/10/2026,Meesho,24100.00,PO-80003,SUCCESS
PG-7004,02/10/2026,Flipkart,42800.00,PO-80004,SUCCESS
PG-7005,03/10/2026,Paytm,6200.00,PO-80005,PENDING
PG-7006,03/10/2026,Jio,14900.00,PO-80006,SUCCESS
PG-7007,04/10/2026,Myntra,19800.00,PO-80007,SUCCESS
PG-7008,04/10/2026,Uber,7250.00,PO-80008,SUCCESS
PG-7009,05/10/2026,Infosys,53400.00,PO-80009,SUCCESS
PG-7010,05/10/2026,Reliance Retail,32800.00,PO-80010,PENDING
PG-7011,06/10/2026,Swiggy,23600.00,PO-80011,SUCCESS
PG-7012,06/10/2026,Wipro,44700.00,PO-80012,SUCCESS
PG-7013,07/10/2026,Airtel,16400.00,PO-80013,SUCCESS
PG-7014,07/10/2026,Amazon India,31200.00,PO-80014,SUCCESS
PG-7015,08/10/2026,Ola,8950.00,PO-80015,SUCCESS
PG-7016,08/10/2026,Tata Motors,21300.00,PO-80016,SUCCESS
PG-7017,09/10/2026,Zomato,12750.00,PO-80017,SUCCESS
PG-7018,09/10/2026,Meesho,28600.00,PO-80018,SUCCESS
PG-7019,10/10/2026,Flipkart,45200.00,PO-80019,SUCCESS
PG-7020,10/10/2026,Paytm,7800.00,PO-80020,SUCCESS
PG-7021,11/10/2026,Jio,18300.00,PO-80021,SUCCESS
PG-7022,11/10/2026,Myntra,26400.00,PO-80022,PENDING
PG-7023,12/10/2026,Uber,6900.00,PO-80023,SUCCESS
PG-7024,12/10/2026,Infosys,51800.00,PO-80024,SUCCESS
PG-7025,13/10/2026,Reliance Retail,37500.00,PO-80025,SUCCESS
PG-7026,13/10/2026,Swiggy,20500.00,PO-80026,SUCCESS
PG-7027,14/10/2026,Wipro,47200.00,PO-80027,SUCCESS
PG-7028,14/10/2026,Airtel,13900.00,PO-80028,SUCCESS
PG-7029,15/10/2026,Amazon India,34800.00,PO-80029,SUCCESS
PG-7030,15/10/2026,Ola,9800.00,PO-80030,SUCCESS
